>Contig1019	locus1019
>Contig1020	locus1020
>Contig1021	locus1021
>Contig1022	locus1022
>Contig1023	locus1023
>Contig1024	locus1024
>Contig1025	locus1025
>Contig1026	locus1026
>Contig1027	locus1027
>Contig1028	locus1028
>Contig1029	locus1029
>Contig1030	locus1030
>Contig1031	locus1031
>Contig1032	locus1032
>Contig1033	locus1033
>Contig1034	locus1034
>Contig1035	locus1035
>Contig1036	locus1036
>Contig1037	locus1037
>Contig1038	locus1038
>Contig1039	locus1039
>Contig1040	locus1040
>Contig1041	locus1041
>Contig1042	locus1042
>Contig1043	locus1043
>Contig1044	locus1044
>Contig1045	locus1045
>Contig1046	locus1046
>Contig1047	locus1047
>Contig1048	locus1048
>Contig1049	locus1049
>Contig1050	locus1050
>Contig1051	locus1051
>Contig1052	locus1052
>Contig1053	locus1053
>Contig1054	locus1054
>Contig1055	locus1055
>Contig1056	locus1056
>Contig1057	locus1057
>Contig1058	locus1058
>Contig1059	locus1059
>Contig1060	locus1060
>Contig1061	locus1061
>Contig1062	locus1062
>Contig1063	locus1063
>Contig1064	locus1064
>Contig1065	locus1065
>Contig1066	locus1066
>Contig1067	locus1067
>Contig1068	locus1068
>Contig1069	locus1069
>Contig1070	locus1070
>Contig1071	locus1071
>Contig1072	locus1072
>Contig1073	locus1073
>Contig1074	locus1074
>Contig1075	locus1075
>Contig1076	locus1076
>Contig1077	locus1077
>Contig1078	locus1078
>Contig1079	locus1079
>Contig1080	locus1080
>Contig1081	locus1081
>Contig1082	locus1082
>Contig1083	locus1083
>Contig1084	locus1084
>Contig1085	locus1085
>Contig1086	locus1086
>Contig1087	locus1087
>Contig1088	locus1088
>Contig1089	locus1089
>Contig1090	locus1090
>Contig1091	locus1091
>Contig1092	locus1092
>Contig1093	locus1093
>Contig1094	locus1094
>Contig1095	locus1095
>Contig1096	locus1096
>Contig1097	locus1097
>Contig1098	locus1098
>Contig1099	locus1099
>Contig1100	locus1100
>Contig1101	locus1101
>Contig1102	locus1102
>Contig1103	locus1103
>Contig1104	locus1104
>Contig1105	locus1105
>Contig1106	locus1106
>Contig1107	locus1107
>Contig1108	locus1108
>Contig1109	locus1109
>Contig1110	locus1110
>Contig1111	locus1111
>Contig1112	locus1112
>Contig1113	locus1113
>Contig1114	locus1114
>Contig1115	locus1115
>Contig1116	locus1116
>Contig1117	locus1117
>Contig1118	locus1118
>Contig1119	locus1119
>Contig1120	locus1120
>Contig1121	locus1121
>Contig1122	locus1122
>Contig1123	locus1123
>Contig1124	locus1124
>Contig1125	locus1125
>Contig1126	locus1126
>Contig1127	locus1127
>Contig1128	locus1128
>Contig1129	locus1129
>Contig1130	locus1130
>Contig1131	locus1131
>Contig1132	locus1132
>Contig1133	locus1133
>Contig1134	locus1134
>Contig1135	locus1135
>Contig1136	locus1136
>Contig1137	locus1137
